Processor,MOS transistor count,Date of introduction,Designer(s),Manufacturer(s),MOS process,Area,Ref
µPD7220 GDC,"40,000",1982,NEC,NEC,"5,000 nm",,[119]
ARTC HD63484,"60,000",1984,Hitachi,Hitachi,,,[120]
YM7101 VDP,"100,000",1988,Sega,Yamaha,,,[121]
Tom & Jerry,"750,000",1993,Flare,IBM,,,[121]
VDP1,"1,000,000",1994,Sega,Hitachi,500 nm,,[122][123]
Sony GPU,"1,000,000",1994,Toshiba,LSI,500 nm,,[124][125][126]
NV1,"1,000,000",1995,"Nvidia, Sega",SGS,500 nm,90 mm²,[122]
Reality Coprocessor,"2,600,000",1996,SGI,NEC,350 nm,81 mm²,[127]
PowerVR,"1,200,000",1996,VideoLogic,NEC,350 nm,,[128]
Voodoo Graphics,"1,000,000",1996,3dfx,TSMC,500 nm,,[129][130]
Voodoo Rush,"1,000,000",1997,3dfx,TSMC,500 nm,,[129][130]
NV3,"3,500,000",1997,Nvidia,"SGS, TSMC",350 nm,90 mm²,[131][132]
PowerVR2 CLX2,"10,000,000",1998,VideoLogic,NEC,250 nm,116 mm²,[52][133][134][54]
i740,"3,500,000",1998,"Intel, Real3D",Real3D,350 nm,,[129][130]
Voodoo 2,"4,000,000",1998,3dfx,TSMC,350 nm,,[129][130]
Voodoo Rush,"4,000,000",1998,3dfx,TSMC,350 nm,,[129][130]
Riva TNT,"7,000,000",1998,Nvidia,TSMC,350 nm,,[129][132]
PowerVR2 PMX1,"6,000,000",1999,VideoLogic,NEC,250 nm,,[135]
Rage 128,"8,000,000",1999,ATI,"TSMC, UMC",250 nm,70 mm²,[130]
Voodoo 3,"8,100,000",1999,3dfx,TSMC,250 nm,,[136]
Graphics Synthesizer,"43,000,000",1999,"Sony, Toshiba","Sony, Toshiba",180 nm,279 mm²,[59][57][56][58]
NV5,"15,000,000",1999,Nvidia,TSMC,250 nm,,[130]
NV10,"17,000,000",1999,Nvidia,TSMC,220 nm,111 mm²,[137][132]
Voodoo 4,"14,000,000",2000,3dfx,TSMC,220 nm,,[129][130]
NV11,"20,000,000",2000,Nvidia,TSMC,180 nm,65 mm²,[130]
NV15,"25,000,000",2000,Nvidia,TSMC,180 nm,81 mm²,[130]
Voodoo 5,"28,000,000",2000,3dfx,TSMC,220 nm,,[129][130]
R100,"30,000,000",2000,ATI,TSMC,180 nm,97 mm²,[130]
Flipper,"51,000,000",2000,ArtX,NEC,180 nm,106 mm²,[59][138]
PowerVR3 KYRO,"14,000,000",2001,Imagination,ST,250 nm,,[129][130]
PowerVR3 KYRO II,"15,000,000",2001,Imagination,ST,180 nm,,[129][130]
NV2A,"60,000,000",2001,Nvidia,TSMC,150 nm,,[129][139]
NV20,"57,000,000",2001,Nvidia,TSMC,150 nm,128 mm²,[130]
R200,"60,000,000",2001,ATI,TSMC,150 nm,68 mm²,[130]
NV25,"63,000,000",2002,Nvidia,TSMC,150 nm,142 mm²,[130]
R300,"107,000,000",2002,ATI,TSMC,150 nm,218 mm²,[130]
R360,"117,000,000",2003,ATI,TSMC,150 nm,218 mm²,[130]
NV38,"135,000,000",2003,Nvidia,TSMC,130 nm,207 mm²,[130]
R480,"160,000,000",2004,ATI,TSMC,130 nm,297 mm²,[130]
NV40,"222,000,000",2004,Nvidia,IBM,130 nm,305 mm²,[130]
Xenos,"232,000,000",2005,ATI,TSMC,90 nm,182 mm²,[140][141]
RSX Reality Synthesizer,"300,000,000",2005,"Nvidia, Sony",Sony,90 nm,186 mm²,[142][143]
G70,"303,000,000",2005,Nvidia,"TSMC, Chartered",110 nm,333 mm²,[130]
R520,"321,000,000",2005,ATI,TSMC,90 nm,288 mm²,[130]
R580,"384,000,000",2006,ATI,TSMC,90 nm,352 mm²,[130]
G80,"681,000,000",2006,Nvidia,TSMC,90 nm,480 mm²,[130]
G86 Tesla,"210,000,000",2007,Nvidia,TSMC,80 nm,127 mm²,[130]
G84 Tesla,"289,000,000",2007,Nvidia,TSMC,80 nm,169 mm²,[130]
R600,"700,000,000",2007,ATI,TSMC,80 nm,420 mm²,[130]
G92,"754,000,000",2007,Nvidia,"TSMC, UMC",65 nm,324 mm²,[130]
G98 Tesla,"210,000,000",2008,Nvidia,TSMC,65 nm,86 mm²,[130]
RV710,"242,000,000",2008,ATI,TSMC,55 nm,73 mm²,[130]
G96 Tesla,"314,000,000",2008,Nvidia,TSMC,55 nm,121 mm²,[130]
