Processor,MOS transistor count,Date of introduction,Designer,MOS process,Area
"Intel 4004 (4-bit, 16-pin)","2,250",1971,Intel,"10,000 nm",12 mm²
"Intel 8008 (8-bit, 18-pin)","3,500",1972,Intel,"10,000 nm",14 mm²
"NEC μCOM-4 (4-bit, 42-pin)","2,500[19][20]",1973,NEC,"7,500 nm[21]",?
Toshiba TLCS-12 (12-bit),"over 11,000[22]",1973,Toshiba,"6,000 nm",32 mm²
"Intel 4040 (4-bit, 16-pin)","3,000",1974,Intel,"10,000 nm",12 mm²
"Motorola 6800 (8-bit, 40-pin)","4,100",1974,Motorola,"6,000 nm",16 mm²
"Intel 8080 (8-bit, 40-pin)","6,000",1974,Intel,"6,000 nm",20 mm²
"TMS 1000 (4-bit, 28-pin)","8,000",1974[23],Texas Instruments,"8,000 nm",11 mm²
"MOS Technology 6502 (8-bit, 40-pin)","4,528[a][24]",1975,MOS Technology,"8,000 nm",21 mm²
"Intersil IM6100 (12-bit, 40-pin; clone of PDP-8)","4,000",1975,Intersil,,
"CDP 1801 (8-bit, 2-chip; 40-pin)","5,000",1975,RCA,,
"RCA 1802 (8-bit, 40-pin)","5,000",1976,RCA,"5,000 nm",27 mm²
"Zilog Z80 (8-bit, 4-bit ALU, 40-pin)","8,500[b]",1976,Zilog,"4,000 nm",18 mm²
"Intel 8085 (8-bit, 40-pin)","6,500",1976,Intel,"3,000 nm",20 mm²
TMS9900 (16-bit),"8,000",1976,Texas Instruments,,
"MC14500B (1-bit, 16-pin)",,1977,Motorola,,
Bellmac-8 (8-bit),"7,000",1977,Bell Labs,"5,000 nm",
"Motorola 6809 (8-bit with some 16-bit features, 40-pin)","9,000",1978,Motorola,"5,000 nm",21 mm²
"Intel 8086 (16-bit, 40-pin)","29,000",1978,Intel,"3,000 nm",33 mm²
Zilog Z8000 (16-bit),"17,500[25]",1979,Zilog,,
"Intel 8088 (16-bit, 8-bit data bus)","29,000",1979,Intel,"3,000 nm",33 mm²
"Motorola 68000 (16/32-bit, 32-bit registers, 16-bit  ALU)","68,000[26]",1979,Motorola,"3,500 nm",44 mm²
"Intel 8051 (8-bit, 40-pin)","50,000",1980,Intel,,
WDC 65C02,"11,500[27]",1981,WDC,"3,000 nm",6 mm²
ROMP (32-bit),"45,000",1981,IBM,"2,000 nm",
"Intel 80186 (16-bit, 68-pin)","55,000",1982,Intel,"3,000 nm",60 mm²
"Intel 80286 (16-bit, 68-pin)","134,000",1982,Intel,"1,500 nm",49 mm²
WDC 65C816 (8/16-bit),"22,000[28]",1983,WDC,"3,000 nm[29]",9 mm²
NEC V20,"63,000",1984,NEC,,
Motorola 68020 (32-bit; 114 pins used),"190,000[30]",1984,Motorola,"2,000 nm",85 mm²
"Intel 80386 (32-bit, 132-pin; no cache)","275,000",1985,Intel,"1,500 nm",104 mm²
ARM 1 (32-bit; no cache),"25,000[30]",1985,Acorn,"3,000 nm",50 mm²
Novix NC4016 (16-bit),"16,000[31]",1985[32],Harris Corporation,"3,000 nm[33]",
SPARC MB86900 (32-bit; no cache),"110,000[34]",1986,Fujitsu,"1,200 nm",
NEC V60[35] (32-bit; no cache),"375,000",1986,NEC,"1,500 nm",
"ARM 2 (32-bit, 84-pin; no cache)","27,000[36][30]",1986,Acorn,"2,000 nm",30.25 mm²
Z80000 (32-bit; very small cache),"91,000",1986,Zilog,,
NEC V70[35] (32-bit; no cache),"385,000",1987,NEC,"1,500 nm",
Hitachi Gmicro/200[37],"730,000",1987,Hitachi,"1,000 nm",
"Motorola 68030 (32-bit, very small caches)","273,000",1987,Motorola,800 nm,102 mm²
TI Explorer's 32-bit Lisp machine chip,"553,000[38]",1987,Texas Instruments,"2,000 nm[39]",
DEC WRL MultiTitan,"180,000[40]",1988,DEC WRL,"1,500 nm",61 mm²
"Intel i960 (32-bit, 33-bit memory subsystem, no cache)","250,000[41]",1988,Intel,"1,500 nm[42]",
"Intel i960CA (32-bit, cache)","600,000[42]",1989,Intel,800 nm,143 mm²
"Intel i860 (32/64-bit, 128-bit SIMD, cache, VLIW)","1,000,000[43]",1989,Intel,,
"Intel 80486 (32-bit, 4 KB cache)","1,180,235",1989,Intel,1000 nm,173 mm²
"ARM 3 (32-bit, 4 KB cache)","310,000",1989,Acorn,"1,500 nm",87 mm²
"68040 (32-bit, 8 KB caches)","1,200,000",1990,Motorola,650 nm,152 mm²
"R4000 (64-bit, 16 KB of caches)","1,350,000",1991,MIPS,"1,000 nm",213 mm²
"ARM 6 (32-bit, no cache for this 60 variant)","35,000",1991,ARM,800 nm,
"Hitachi SH-1 (32-bit, no cache)","600,000[44]",1992[45],Hitachi,800 nm,10 mm²
"Intel i960CF (32-bit, cache)","900,000[42]",1992,Intel,,125 mm²
"DEC Alpha 21064 (64-bit, 290-pin; 16 KB of caches)","1,680,000",1992,DEC,750 nm,233.52 mm²
"Hitachi HARP-1 (32-bit, cache)","2,800,000[46]",1993,Hitachi,500 nm,267 mm²
"Pentium (32-bit, 16 KB of caches)","3,100,000",1993,Intel,800 nm,294 mm²
ARM700 (32-bit; 8 KB cache),"578,977[47]",1994,ARM,700 nm,68.51 mm²
"MuP21 (21-bit,[48] 40-pin; includes video)","7,000[49]",1994,Offete Enterprises,1200 nm,
"68060 (32-bit, 16 KB of caches)","2,500,000",1994,Motorola,600 nm,218 mm²
"SA-110 (32-bit, 32 KB of caches)","2,500,000[30]",1995,Acorn/DEC/Apple,350 nm,50 mm²
"Pentium Pro (32-bit, 16 KB of caches;[50] L2 cache on-package, but on separate die)","5,500,000[51]",1995,Intel,500 nm,307 mm²
"AMD K5 (32-bit, caches)","4,300,000",1996,AMD,500 nm,251 mm²
"Hitachi SH-4 (32-bit, caches)","10,000,000[52]",1997,Hitachi,200 nm[53],42 mm²[54]
"Pentium II Klamath (32-bit, 64-bit SIMD, caches)","7,500,000",1997,Intel,350 nm,195 mm²
"AMD K6 (32-bit, caches)","8,800,000",1997,AMD,350 nm,162 mm²
F21 (21-bit; includes e.g. video),"15,000",1997[49],Offete Enterprises,,
"AVR (8-bit, 40-pin; w/memory)","140,000",1997,Nordic VLSI/Atmel,,
"Pentium II Deschutes (32-bit, large cache)","7,500,000",1998,Intel,250 nm,113 mm²
"ARM 9TDMI (32-bit, no cache)","111,000[30]",1999,Acorn,350 nm,4.8 mm²
"Pentium III Katmai (32-bit, 128-bit SIMD, caches)","9,500,000",1999,Intel,250 nm,128 mm²
"Emotion Engine (64-bit, 128-bit SIMD, cache)","13,500,000[56]",1999,Sony/Toshiba,180 nm[57],240 mm²[58]
"Pentium II Mobile Dixon (32-bit, caches)","27,400,000",1999,Intel,180 nm,180 mm²
"AMD K6-III (32-bit, caches)","21,300,000",1999,AMD,250 nm,118 mm²
"AMD K7 (32-bit, caches)","22,000,000",1999,AMD,250 nm,184 mm²
"Gekko (32-bit, large cache)","21,000,000[59]",2000,IBM/Nintendo,180 nm,43 mm²
"Pentium III Coppermine (32-bit, large cache)","21,000,000",2000,Intel,180 nm,80 mm²
"Pentium 4 Willamette (32-bit, large cache)","42,000,000",2000,Intel,180 nm,217 mm²
"SPARC64 V (64-bit, large cache)","191,000,000[60]",2001,Fujitsu,130 nm[61],290 mm²
"Pentium III Tualatin (32-bit, large cache)","45,000,000",2001,Intel,130 nm,81 mm²
"Pentium 4 Northwood (32-bit, large cache)","55,000,000",2002,Intel,130 nm,145 mm²
"Itanium 2 McKinley (64-bit, large cache)","220,000,000",2002,Intel,180 nm,421 mm²
"DEC Alpha 21364 (64-bit, 946-pin, SIMD, very large caches)","152,000,000[18]",2003,DEC,180 nm,397 mm²
"Barton (32-bit, large cache)","54,300,000",2003,AMD,130 nm,101 mm²
"AMD K8 (64-bit, large cache)","105,900,000",2003,AMD,130 nm,193 mm²
Itanium 2 Madison 6M (64-bit),"410,000,000",2003,Intel,130 nm,374 mm²
"Pentium 4 Prescott (32-bit, large cache)","112,000,000",2004,Intel,90 nm,110 mm²
"SPARC64 V+ (64-bit, large cache)","400,000,000[62]",2004,Fujitsu,90 nm,294 mm²
Itanium 2 (64-bit;9 MB cache),"592,000,000",2004,Intel,130 nm,432 mm²
"Pentium 4 Prescott-2M (32-bit, large cache)","169,000,000",2005,Intel,90 nm,143 mm²
"Pentium D Smithfield (32-bit, large cache)","228,000,000",2005,Intel,90 nm,206 mm²
"Xenon (64-bit, 128-bit SIMD, large cache)","165,000,000",2005,IBM,90 nm,
"Cell (32-bit, cache)","250,000,000[63]",2005,Sony/IBM/Toshiba,90 nm,221 mm²
"Pentium 4 Cedar Mill (32-bit, large cache)","184,000,000",2006,Intel,65 nm,90 mm²
"Pentium D Presler (32-bit, large cache)","362,000,000",2006,Intel,65 nm,162 mm²
"Core 2 Duo Conroe (dual-core 64-bit, large caches)","291,000,000",2006,Intel,65 nm,143 mm²
